       1       0   10413    2.6256    6  172    4  175
    -1    1.350    1.950     -1.504  0.010     2.18     3.42    -0.98     2.19
     3    0.165   -0.152     -1.112  0.199     4.55     1.41   -16.62    17.99
     3   -0.213   -0.280      1.463  0.199    -1.65     1.02     6.83     8.11
    -1    0.666    2.822      2.607  0.010     0.95     0.34     0.54     0.89
    -2    0.635    0.297      0.984  0.006     3.63     2.82     9.81    13.91
     3   -0.460   -0.034     -0.239  0.199     2.94     4.78     0.22     0.60
    -2    0.467   -0.075     -0.201  0.006     4.99     0.86    -1.25     3.83
     2   -0.493    0.910      0.318  0.006     3.22     0.04     0.43     1.07
    -1   -1.182    0.983     -0.893  0.010    -3.21     2.16    -0.34     0.73
     1   -0.054    0.398     -0.291  0.010    -3.28     2.45    -0.56     1.74
     2    0.019   -0.081      0.348  0.006    -2.05    -2.15     5.87     7.09
    -1   -0.065   -0.094     -0.042  0.010    -0.24    -1.30    -0.02     0.83
     1    0.015   -0.169      0.348  0.010    -3.28    -0.62     2.12     3.64
     1   -0.163   -0.033     -0.565  0.010    -3.70     0.22   -11.59    12.20
     2    0.380   -0.174      0.367  0.006    -0.73    -5.21     5.14     9.18
     3    0.108    0.209     -2.382  0.199    -0.69    -1.93    -8.17     8.85
    -1   -1.002   -0.771     -0.919  0.010    -1.93    -1.79    -1.17     2.04
     1    1.486   -1.464      0.185  0.010     2.08    -0.05    -0.16     1.42
    -1    0.145    0.079     -0.157  0.010     0.29     1.20    -3.24     4.43
     2    0.142    0.294     -0.292  0.006     0.80     0.65    -1.02     2.56
    -1    0.041    0.390     -0.570  0.010    -1.85    -1.28    -2.14     4.39
    -2    0.543    0.560     -0.955  0.006     2.32     4.83    -0.76     0.93
     3    0.000   -0.393     -0.453  0.199     2.86     2.42    -2.19     3.48
    -1   -0.012    0.072      0.051  0.010    -7.24    -0.09     0.65     3.34
     3   -0.407    0.141     -0.186  0.199    -5.00     1.71    -0.17     0.54
    -1   -0.267    0.085      0.125  0.010    -2.25    -0.36     0.24     2.92
    -1   -0.592   -0.139     -0.879  0.010    -2.67    -2.72    -3.27     4.71
    -2    0.115    0.111     -0.032  0.006     0.59    -1.14    -6.24     6.86
     3    1.396    0.713      0.299  0.199     4.24     5.78     1.21     7.30
    -3    0.363    0.342     -0.059  0.199     0.93     3.65    -0.80     3.77
     1    1.698    0.465     -0.607  0.010     3.55    -4.61     0.30     1.86
     2   -0.173   -0.118      0.420  0.006     0.18    -5.26     1.46     2.61
     2    0.004   -0.002      0.005  0.006     1.69    -5.15     0.09     0.30
    -1    0.351    0.898     -2.636  0.010    -0.62     2.58    -0.88     1.07
     2    0.068    0.210      0.152  0.006     0.96     2.09     0.94     2.06
    -1    0.315   -0.110     -0.428  0.010     2.66    -3.95    -1.24     3.05
    -2    0.373    0.124     -0.369  0.006     2.39    -2.51    -0.36     0.86
    -1   -0.253   -0.885     -0.091  0.010     2.05    -2.45    -0.02     0.90
     4    0.019   -0.806      0.660  1.350    -1.15    -5.20     0.01     0.08
    -1   -1.085   -0.990     -1.259  0.010    -0.74    -6.49    -0.51     1.53
     1   -0.218   -0.396      0.021  0.010     1.33    -4.04    -0.67     1.48
    -3    0.281   -0.635     -0.119  0.199     0.47    -4.54    -0.59     1.01
     3    0.158    0.048     -0.222  0.199     4.70     4.26    -2.64     5.80
    -1    1.470   -1.059     -0.140  0.010     3.31     3.91    -0.02     0.08
    -1   -0.775   -1.214     -0.798  0.010    -2.39    -0.60    -1.20     2.90
     2   -0.231   -0.048     -0.109  0.006    -2.30    -0.20    -1.83     3.47
     2   -1.893    0.863      0.079  0.006    -5.10    -0.48     0.01     0.08
    -2   -0.405    0.077      0.250  0.006    -5.10    -0.48     0.01     0.08
     2    0.399    0.260      0.177  0.006     0.05     3.46     0.13     1.21
    -3   -0.217   -0.285     -0.355  0.199     0.20     1.13    -2.53     4.49
    -1   -0.774    0.417      0.084  0.010    -1.69     2.49     0.56     3.50
     1    0.235    0.116      0.038  0.010    -0.76     1.13    -2.00     4.89
     2   -0.244    0.094      0.443  0.006    -4.00    -0.63     4.53     6.17
    -2   -0.268   -0.884      0.449  0.006    -3.54    -2.34     0.44     1.96
     1    0.064    0.212     -0.496  0.010    -4.50     3.35    -6.83     7.41
    -3   -1.363    0.210     -0.778  0.199    -3.48     3.17    -0.27     1.46
     2    0.399   -0.172      0.064  0.006     1.58    -5.32     0.67     2.92
    -4   -0.064   -0.297     -0.790  1.350     0.15    -5.84    -2.48     5.70
    -2    0.019    0.109     -0.006  0.006    -1.53     2.60    -1.16     1.70
     3    0.509    0.268      0.373  0.199    -0.46     3.19     0.36     2.24
     3   -0.210    0.171     -0.122  0.199     1.81     0.54     0.85     6.71
    -1    0.226    0.457     -0.042  0.010     2.97     5.00     0.34     3.84
    -3   -0.050   -0.160     -0.596  0.199    -0.04    -1.89    -2.96     3.87
     1   -0.519    0.003     -0.453  0.010    -0.37    -2.32    -4.04     4.73
     1   -0.098    1.064     -0.204  0.010    -0.68     2.74     0.01     0.08
     1   -0.893    0.852      0.190  0.010    -1.34     3.98     0.23     2.00
     3    0.039   -0.123     -0.250  0.199     0.62     2.45    -1.76     2.73
    -1    0.003    0.672     -0.003  0.010     0.54     0.72     1.26     4.52
     1   -0.064   -0.122      0.105  0.010    -3.83    -1.45    -0.80     5.87
    -1   -0.372    0.208      1.141  0.010     0.86     3.12     0.59     0.71
     3   -0.142   -0.177      0.928  0.199     0.45     3.53     7.00     7.66
    -2   -0.385   -0.535      0.114  0.006    -1.61     0.89    -0.83     3.66
    -1   -0.154   -0.006     -0.335  0.010    -1.96     1.84    -3.82     6.40
    -1   -0.564   -0.464     -0.490  0.010     0.06     3.03    -0.07     0.87
    -1   -0.282    0.103     -0.091  0.010    -1.61     0.22     0.21     2.60
    -1    0.003   -0.109     -0.096  0.010    -1.54    -0.10     3.32     5.07
    -2   -0.493   -0.769      0.049  0.006    -1.28    -2.39     0.87     3.26
     1   -0.067   -0.411     -0.452  0.010    -2.01    -2.12    -0.82     2.40
     2   -0.322    0.135      0.156  0.006    -1.12    -2.55     0.40     1.84
     1    0.081   -0.083      0.041  0.010    -1.39    -2.68     0.64     2.75
     1   -0.165   -0.009     -0.040  0.010    -3.60     2.34    -0.04     0.09
    -1   -0.366    0.086     -0.170  0.010    -2.74     0.18    -0.68     2.81
    -1    0.156   -0.211      0.067  0.010     1.72    -3.18     1.56     3.13
     3   -1.048    0.461      1.263  0.199    -1.14    -3.21     2.10     3.01
    -1    0.250    0.033      0.207  0.010     5.82    -0.77     8.99    11.96
     3    0.233   -0.738      0.504  0.199     2.10    -3.83     0.39     1.58
     3   -0.122   -0.026      0.007  0.199    -1.69     1.22     0.28     1.32
    -1    0.006    0.083     -0.156  0.010    -6.42     9.70   -11.07    15.19
    -2   -1.189   -0.516     -0.944  0.006    -1.99    -2.69    -0.10     0.98
     1    0.343   -0.743      0.165  0.010    -1.83    -2.80     0.16     0.98
    -2    0.211   -0.061     -0.210  0.006     4.75     3.02    -1.24     4.25
     2   -0.483    0.257      1.028  0.006     0.59     2.84     3.95     4.73
     2   -0.203    0.257      0.240  0.006    -2.24     3.42     1.23     2.47
