           1           0        6193         513        2327        3044         204
  3    0.23   -0.92     0.06  0.199     1.09    -0.58    -0.01     0.05 20068    1.07   -0.54
 -2    1.43   -2.39    -0.45  0.006     1.09    -0.58    -0.01     0.05 20068    1.07   -0.54
  2    0.83   -2.59     0.17  0.006     1.94     1.59     0.01     0.06 10009    1.93    1.64
 -2    0.03   -0.51     0.40  0.006     1.94     1.59     0.01     0.06 10009    1.93    1.64
  2   -1.10   -0.29    -0.10  0.006    -0.76     2.93    -0.02     0.06 20177   -0.71    2.95
 -2   -1.79   -1.31    -1.15  0.006    -0.76     2.93    -0.02     0.06 20177   -0.71    2.95
 -1    0.25   -0.02     0.09  0.010    -0.65     2.95    -0.01     0.06 20177   -0.71    2.95
  3    2.92   -0.40    -0.49  0.199    -0.65     2.95    -0.01     0.06 20177   -0.71    2.95
  2    1.50    0.63    -1.29  0.006    -0.33    -4.67    -0.03     0.06    13   -0.37   -4.69
 -4    1.15    0.84    -0.83  1.350    -0.33    -4.67    -0.03     0.06    13   -0.37   -4.69
  2    2.87   -0.50    -1.61  0.006    -2.39     1.05    -0.03     0.06    14   -2.44    1.05
 -1    0.77    0.08    -0.76  0.010    -2.39     1.05    -0.03     0.06    14   -2.44    1.05
 -3    1.29    2.94    -1.26  0.199     2.23     1.46    -0.02     0.06 20088    2.21    1.41
  1   -0.10    0.05     0.01  0.010     2.23     1.46    -0.02     0.06 20088    2.21    1.41
 -1   -1.54    1.19    -0.07  0.010    -1.34     4.66    -0.00     0.07 20045   -1.28    4.62
  2   -0.68    0.53     0.06  0.006    -1.34     4.66    -0.00     0.07 20045   -1.28    4.62
  3   -0.01   -0.14     0.08  0.199     2.11     2.58    -0.01     0.07 10092    2.15    2.63
  1    0.01   -0.01    -0.18  0.010     2.11     2.58    -0.01     0.07 10092    2.15    2.63
  3   -1.66   -1.71    -0.14  0.199     2.11     2.58    -0.01     0.07 10092    2.15    2.63
  1   -0.25    0.90    -0.18  0.010     1.51     0.27    -0.02     0.07 20038    1.50    0.21
 -3    0.43    1.89    -0.64  0.199     1.51     0.27    -0.02     0.07 20038    1.50    0.21
  4   -1.99    1.69     1.70  1.350     0.24    -2.70     0.04     0.07 10174    0.28   -2.73
 -2    0.02   -0.23     0.12  0.006     0.24    -2.70     0.04     0.07 10174    0.28   -2.73
 -3   -1.73    1.39     0.11  0.199    -0.76     3.00    -0.00     0.07 20177   -0.71    2.95
  1   -0.38    0.29    -0.19  0.010    -0.76     3.00    -0.00     0.07 20177   -0.71    2.95
  2   -0.82   -1.00    -0.76  0.006    -0.64    -1.02    -0.03     0.07 20162   -0.60   -0.96
 -2   -0.82   -1.25    -0.27  0.006    -0.64    -1.02    -0.03     0.07 20162   -0.60   -0.96
  1   -1.93   -0.56     0.68  0.010    -3.00    -2.02     0.03     0.08     8   -2.94   -1.99
